Antrozous pallidus
Corynorhinus townsendii
Eptesicus fuscus
Lasionycteris noctivagans
Lasiurus blossevillii
Lasiurus cinereus
Myotis californicus
Myotis evotis
Myotis keenii
Myotis lucifugus
Myotis melanorhinus
Myotis septentrionalis
Myotis thysanodes
Myotis volans
Myotis yumanensis
Pipistrellus hesperus
Tadarida brasiliensis
